[classes] ['book' 'chair' 'desk' 'hammer' 'lecturestand']
/usr/local/lib/python3.12/dist-packages/huggingface_hub/utils/_auth.py:94: UserWarning: 
The secret `HF_TOKEN` does not exist in your Colab secrets.
To authenticate with the Hugging Face Hub, create a token in your settings tab (https://huggingface.co/settings/tokens), set it as secret in your Google Colab and restart your session.
You will be able to reuse this secret in all of your notebooks.
Please note that authentication is recommended but still optional to access public models or datasets.
  warnings.warn(
model.safetensors: 100%
 114M/114M [00:00<00:00, 259MB/s]
[001] tr_loss=8.7104 tr_mae=5.874 | va_mae=7.932 va_rmse=9.817 | va_f1M=0.159 va_acc=0.217 | score=7.773 | time=363.0s
[002] tr_loss=5.6356 tr_mae=4.100 | va_mae=7.785 va_rmse=9.666 | va_f1M=0.421 va_acc=0.457 | score=7.364 | time=23.3s
[003] tr_loss=4.8590 tr_mae=3.636 | va_mae=7.501 va_rmse=9.361 | va_f1M=0.781 va_acc=0.779 | score=6.721 | time=23.8s
[004] tr_loss=5.0232 tr_mae=3.723 | va_mae=7.043 va_rmse=8.868 | va_f1M=0.893 va_acc=0.887 | score=6.150 | time=22.5s
[005] tr_loss=5.4647 tr_mae=4.003 | va_mae=6.496 va_rmse=8.283 | va_f1M=0.953 va_acc=0.949 | score=5.544 | time=23.4s
[006] tr_loss=4.7104 tr_mae=3.494 | va_mae=5.917 va_rmse=7.654 | va_f1M=0.982 va_acc=0.981 | score=4.934 | time=23.5s
[007] tr_loss=4.6360 tr_mae=3.486 | va_mae=5.307 va_rmse=7.000 | va_f1M=0.989 va_acc=0.989 | score=4.317 | time=23.7s
[008] tr_loss=4.4383 tr_mae=3.344 | va_mae=4.800 va_rmse=6.466 | va_f1M=0.991 va_acc=0.991 | score=3.808 | time=22.7s
[009] tr_loss=3.8751 tr_mae=2.993 | va_mae=4.446 va_rmse=6.073 | va_f1M=0.993 va_acc=0.992 | score=3.454 | time=23.5s
[010] tr_loss=3.2798 tr_mae=2.598 | va_mae=4.167 va_rmse=5.736 | va_f1M=0.993 va_acc=0.992 | score=3.174 | time=24.0s
[011] tr_loss=3.3825 tr_mae=2.677 | va_mae=3.952 va_rmse=5.471 | va_f1M=0.993 va_acc=0.992 | score=2.960 | time=24.0s
[012] tr_loss=2.9648 tr_mae=2.403 | va_mae=3.774 va_rmse=5.239 | va_f1M=0.993 va_acc=0.992 | score=2.781 | time=23.3s
[013] tr_loss=2.7963 tr_mae=2.286 | va_mae=3.603 va_rmse=5.016 | va_f1M=0.996 va_acc=0.995 | score=2.607 | time=23.4s
[014] tr_loss=2.5196 tr_mae=2.099 | va_mae=3.440 va_rmse=4.799 | va_f1M=0.996 va_acc=0.995 | score=2.444 | time=23.8s
[015] tr_loss=2.3668 tr_mae=1.985 | va_mae=3.292 va_rmse=4.602 | va_f1M=0.997 va_acc=0.997 | score=2.295 | time=23.6s
[016] tr_loss=2.4259 tr_mae=2.033 | va_mae=3.160 va_rmse=4.424 | va_f1M=0.997 va_acc=0.997 | score=2.163 | time=22.7s
[017] tr_loss=2.0429 tr_mae=1.752 | va_mae=3.034 va_rmse=4.259 | va_f1M=0.997 va_acc=0.997 | score=2.037 | time=23.5s
